selection,k,classifier,accuracy,precision,recall,f1,auc_roc,fpr_at_95_tpr
random,20,svm,0.84,1.0,0.68,0.8095238095238095,0.9264,0.48
quantum,25,ocsvm,0.805,0.7961165048543689,0.82,0.8078817733990148,0.8879,0.51
quantum,25,iforest,0.81,0.8522727272727273,0.75,0.7978723404255319,0.9137,0.4
quantum,25,rf,0.89,1.0,0.78,0.8764044943820225,0.9764,0.1
quantum,25,svm,0.84,1.0,0.68,0.8095238095238095,0.9472,0.3
variance,25,ocsvm,0.81,0.7980769230769231,0.83,0.8137254901960784,0.8422999999999999,0.66
variance,25,iforest,0.795,0.8241758241758241,0.75,0.7853403141361257,0.8821000000000001,0.47
variance,25,rf,0.87,1.0,0.74,0.8505747126436781,0.966,0.22
variance,25,svm,0.81,1.0,0.62,0.7654320987654321,0.9420000000000001,0.22
correlation,25,ocsvm,0.835,0.8252427184466019,0.85,0.8374384236453202,0.8956999999999999,0.48
correlation,25,iforest,0.81,0.8444444444444444,0.76,0.8,0.9104000000000001,0.42
correlation,25,rf,0.88,1.0,0.76,0.8636363636363636,0.9704,0.12
correlation,25,svm,0.84,1.0,0.68,0.8095238095238095,0.9652,0.2
random,25,ocsvm,0.835,0.819047619047619,0.86,0.8390243902439024,0.8769,0.53
random,25,iforest,0.805,0.8426966292134831,0.75,0.7936507936507936,0.898,0.45
random,25,rf,0.89,1.0,0.78,0.8764044943820225,0.9788,0.1
random,25,svm,0.84,1.0,0.68,0.8095238095238095,0.9652000000000001,0.2
quantum,30,ocsvm,0.825,0.8095238095238095,0.85,0.8292682926829268,0.8986999999999999,0.48
quantum,30,iforest,0.83,0.8666666666666667,0.78,0.8210526315789474,0.9135,0.43
quantum,30,rf,0.89,1.0,0.78,0.8764044943820225,0.9739999999999999,0.14
quantum,30,svm,0.84,1.0,0.68,0.8095238095238095,0.9624,0.18
variance,30,ocsvm,0.785,0.7766990291262136,0.8,0.7881773399014779,0.8636,0.62
variance,30,iforest,0.79,0.8295454545454546,0.73,0.776595744680851,0.8935,0.44
variance,30,rf,0.89,1.0,0.78,0.8764044943820225,0.9723999999999999,0.12
variance,30,svm,0.81,1.0,0.62,0.7654320987654321,0.9364,0.3
correlation,30,ocsvm,0.84,0.8207547169811321,0.87,0.8446601941747572,0.9036,0.45
correlation,30,iforest,0.82,0.8636363636363636,0.76,0.8085106382978723,0.9227,0.35
correlation,30,rf,0.87,1.0,0.74,0.8505747126436781,0.9755999999999999,0.12
correlation,30,svm,0.84,1.0,0.68,0.8095238095238095,0.9627999999999999,0.18
random,30,ocsvm,0.84,0.8207547169811321,0.87,0.8446601941747572,0.8903000000000001,0.48
random,30,iforest,0.81,0.8369565217391305,0.77,0.8020833333333334,0.9029999999999999,0.45
random,30,rf,0.88,1.0,0.76,0.8636363636363636,0.982,0.06
random,30,svm,0.84,1.0,0.68,0.8095238095238095,0.9672000000000001,0.18
