k,selection,classifier,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,auc_roc_mean,auc_roc_std,auc_roc_ci_lower,auc_roc_ci_upper
30,quantum,ocsvm,0.8736363636363637,0.01340716473068419,0.8569891698722858,0.8902835574004415,0.8755244955749906,0.03121810199405584,0.8367621022367182,0.9142868889132629,0.8727272727272727,0.012856486930664525,0.8567638357620893,0.8886907096924561,0.8737042727746953,0.01053889257781645,0.8606185092798837,0.8867900362695069,0.9251735537190082,0.014035797803164362,0.9077458089007515,0.9426012985372649
30,quantum,iforest,0.8272727272727272,0.012856486930664504,0.8113092903075438,0.8432361642379105,0.8905901722391084,0.02771214597232349,0.8561809982723069,0.92499934620591,0.7472727272727273,0.023531234737354138,0.7180548402660728,0.7764906142793818,0.812204905984013,0.013921001694624017,0.7949196993608647,0.8294901126071612,0.9188760330578513,0.0062037442067601695,0.911173067222252,0.9265789988934505
30,quantum,rf,0.9554545454545454,0.010852123987557551,0.9419798537951517,0.9689292371139392,0.9682785150486428,0.008153765830505541,0.95815427756712,0.9784027525301656,0.9418181818181818,0.02092884442403881,0.9158315891728451,0.9678047744635184,0.9547569585967164,0.011498016624778305,0.9404802853029808,0.969033631890452,0.9944132231404957,0.002546339869652249,0.9912515245971577,0.9975749216838338
30,quantum,svm,0.9099999999999999,0.008743356391668792,0.899143689145,0.9208563108549999,0.9790761760570366,0.016507575573759613,0.9585793137694714,0.9995730383446018,0.8381818181818183,0.016262312563634796,0.8179894901440161,0.8583741462196204,0.9030085477090509,0.00963352892820641,0.8910469416632425,0.9149701537548593,0.9805289256198348,0.0056418504110245715,0.9735236430812145,0.9875342081584552
30,variance,ocsvm,0.85,0.018463723646899913,0.8270742590748608,0.8729257409251392,0.8761156678392895,0.02645230782674234,0.8432707895414199,0.9089605461371592,0.8163636363636364,0.03485507184123784,0.7730853485035655,0.8596419242237073,0.8446066917558597,0.020521357437329333,0.8191260610316567,0.8700873224800626,0.8863801652892562,0.0241620301699367,0.8563790423037326,0.9163812882747798
30,variance,iforest,0.8127272727272727,0.010852123987557555,0.799252581067879,0.8262019643866665,0.8733396969737853,0.02607694366923087,0.8409608948365137,0.905718499111057,0.7327272727272727,0.026967994498529692,0.6992420848546911,0.7662124605998543,0.7963155887957148,0.01308323827462033,0.7800706028501972,0.8125605747412324,0.8998181818181819,0.005985719407730812,0.892385929526253,0.9072504341101107
30,variance,rf,0.9436363636363636,0.024180792869582524,0.9136119436821807,0.9736607835905465,0.9726399295530687,0.015176607964902942,0.9537956818281962,0.9914841772779411,0.9127272727272727,0.03670296225124793,0.8671545258724663,0.9583000195820791,0.9415793982681663,0.025948590889482828,0.9093599671565772,0.9737988293797554,0.9927933884297522,0.003914250609088461,0.9879332043684999,0.9976535724910045
30,variance,svm,0.8736363636363637,0.018575287947002334,0.8505720973363025,0.8967006299364249,0.9701815411815884,0.017759042817999195,0.9481307770719196,0.9922323052912572,0.7709090909090909,0.026814329461368417,0.7376147033809352,0.8042034784372466,0.8590239919892598,0.021789658320175497,0.8319685577199367,0.8860794262585829,0.9687190082644628,0.01719653804409881,0.9473666860813639,0.9900713304475617
30,correlation,ocsvm,0.8709090909090909,0.009425655160603506,0.859205594236686,0.8826125875814957,0.8721830126351418,0.029293578756778373,0.8358102305143034,0.9085557947559801,0.8709090909090909,0.019708621262435277,0.8464376054332917,0.89538057638489,0.8710128934308994,0.006499064863198424,0.8629432385682748,0.879082548293524,0.9236528925619835,0.01189830092578049,0.9088792006626473,0.9384265844613197
30,correlation,iforest,0.8218181818181819,0.010852123987557546,0.8083434901587881,0.8352928734775756,0.8775907180379573,0.025481310614732713,0.8459514920205962,0.9092299440553184,0.7490909090909091,0.024562283792920532,0.7185928055915759,0.7795890125902424,0.8077695895802719,0.01206316454086476,0.7927911924654718,0.822747986695072,0.9237024793388431,0.010838961916022185,0.9102441305498166,0.9371608281278696
30,correlation,rf,0.9563636363636364,0.014588005941710168,0.9382502345802323,0.9744770381470406,0.9717440326777386,0.009671761208830187,0.9597349549855104,0.9837531103699667,0.9400000000000001,0.021893808325076917,0.9128152464191781,0.967184753580822,0.9555530623647959,0.015187218882751072,0.9366956394452435,0.9744104852843483,0.9941652892561983,0.0032461564332873123,0.9901346536804478,0.9981959248319487
30,correlation,svm,0.9,0.012856486930664515,0.8840365630348167,0.9159634369651833,0.9727988173197971,0.02026220882602314,0.9476399620964375,0.9979576725431567,0.8236363636363636,0.0318830507577276,0.7840483273575899,0.8632243999151373,0.8915117206874987,0.01579045544245128,0.8719052806493662,0.9111181607256312,0.9797355371900827,0.003806769822629257,0.9750088081518754,0.9844622662282899
30,random,ocsvm,0.8572727272727274,0.025020652626405248,0.8262054836949575,0.8883399708504973,0.8736890923853791,0.031757836473720075,0.8342565301751184,0.9131216545956398,0.8363636363636363,0.03803000120609432,0.7891431530143832,0.8835841197128894,0.8540881832757549,0.026229789348778454,0.821519598160908,0.8866567683906017,0.9104628099173555,0.02126478561295203,0.8840590911922316,0.9368665286424794
30,random,iforest,0.8245454545454546,0.019444772396552217,0.8004015807073893,0.8486893283835198,0.8726726514537241,0.015912909282624295,0.852914164890807,0.8924311380166412,0.76,0.03497342556667519,0.7165747565800002,0.8034252434199998,0.8121474444929626,0.023606083170056774,0.7828366208820993,0.841458268103826,0.9078512396694215,0.01797563407870176,0.8855315419890127,0.9301709373498303
30,random,rf,0.9509090909090908,0.009854310631217635,0.9386733481711912,0.9631448336469904,0.9754952863803881,0.014200165303552403,0.9578634523544248,0.9931271204063513,0.9254545454545454,0.027574092523823816,0.8912167874845738,0.9596923034245171,0.9494898176139696,0.010925728743189336,0.9359237335794113,0.9630559016485278,0.9938842975206612,0.002924265456686662,0.9902533423819024,0.99751525265942
30,random,svm,0.8954545454545453,0.01789547244093595,0.8732343815937874,0.9176747093153031,0.9801758523620825,0.014626323493848944,0.9620148730536884,0.9983368316704766,0.8072727272727274,0.031095693411794637,0.76866232426412,0.8458831302813348,0.8851186906298724,0.02121725091621472,0.8587739940263527,0.911463387233392,0.972396694214876,0.007837743946795806,0.9626648497290001,0.9821285387007518
