k,quantum_mean,quantum_std,quantum_ci_low,quantum_ci_high,variance_mean,variance_std,variance_ci_low,variance_ci_high,correlation_mean,correlation_std,correlation_ci_low,correlation_ci_high,random_mean,random_std,random_ci_low,random_ci_high,rbf_kernel_mean,rbf_kernel_std,rbf_kernel_ci_low,rbf_kernel_ci_high
5,0.8458738899745954,0.011724331775033018,0.8295979081903427,0.8621498717588482,0.6106418055395357,0.00842037828176645,0.5989524465073736,0.6223311645716979,0.8540837065244613,0.011330283605290169,0.8383547512962559,0.8698126617526667,0.8588643587560881,0.09885506850568178,0.7216315232177914,0.9960971942943848,0.9772580478465628,0.0033738441819693874,0.9725744012641983,0.9819416944289273
10,0.9540493302106334,0.00749688897821288,0.9436419798567481,0.9644566805645187,0.5547114133172755,0.006492333033166552,0.5456986101816509,0.5637242164529,0.8979619285803736,0.007272367089581522,0.8878662645758385,0.9080575925849087,0.932935391970713,0.047417046176226565,0.8671099790912519,0.998760804850174,0.9920767086358484,0.005497074916303203,0.9844455452637106,0.9997078720079862
15,0.9420086675054588,0.012502322884044313,0.9246526609179552,0.9593646740929623,0.7501806618608834,0.011085561969996145,0.734791434725902,0.7655698889958648,0.8940520629795552,0.011183385409467589,0.8785270351397269,0.9095770908193835,0.9418899635930252,0.05081939463519465,0.8713413338510245,1.012438593335026,0.9915779555186415,0.004827972534131194,0.9848756551634325,0.9982802558738505
20,0.9698588727016244,0.008636640551664571,0.9578692935091134,0.9818484518941354,0.9050862653855839,0.005843820115318548,0.8969737425081676,0.9131987882630002,0.9387982213631499,0.007936314842614367,0.9277808501141073,0.9498155926121926,0.9590855771561596,0.04104039557638208,0.9021123744494459,1.0160587798628733,0.9920766177303293,0.003600943819039913,0.9870777063100965,0.9970755291505621
25,0.9761056775107771,0.007269847502164491,0.9660135112543177,0.9861978437672366,0.9406674077787585,0.014334444689251123,0.9207680083821586,0.9605668071753584,0.9536036291970778,0.006774226068367566,0.9441994957925666,0.9630077626015889,0.9707610711471701,0.028906548890248136,0.930632348059925,1.0108897942344153,0.9935385109193486,0.0029727294050837737,0.9894117009164375,0.9976653209222598
30,0.9812067680178866,0.00545104298659419,0.9736395072087105,0.9887740288270628,0.9398881599096566,0.008819115786558647,0.9276452644807749,0.9521310553385383,0.9782996677893656,0.005195683277518503,0.9710869030873535,0.9855124324913778,0.9823447184033298,0.020973244348059167,0.9532291875981866,1.011460249208473,0.9930496401367851,0.0009876177425527377,0.9916786069132266,0.9944206733603436
