k,quantum_mean,quantum_std,quantum_ci_low,quantum_ci_high,variance_mean,variance_std,variance_ci_low,variance_ci_high,correlation_mean,correlation_std,correlation_ci_low,correlation_ci_high,random_mean,random_std,random_ci_low,random_ci_high,rbf_kernel_mean,rbf_kernel_std,rbf_kernel_ci_low,rbf_kernel_ci_high
5,0.8761736040831343,0.01624006972292899,0.8536287730379857,0.8987184351282829,0.7956592464046026,0.009588489641733646,0.782348288838587,0.8089702039706183,0.8822049202991458,0.016172501058136696,0.8597538895983109,0.9046559509999806,0.8664126197563835,0.022088274260328597,0.8357491792802055,0.8970760602325615,0.9022567415974778,0.009078491985677966,0.8896537742793713,0.9148597089155843
10,0.8984205425381738,0.010501386224757454,0.8838422813474142,0.9129988037289335,0.828526827064272,0.007643824316784662,0.8179154977596077,0.8391381563689364,0.9058932205800637,0.011031526260790847,0.8905790070352468,0.9212074341248806,0.8844207572335776,0.021813551609948256,0.8541386929363675,0.9147028215307877,0.8983836635056779,0.004465602598600416,0.8921844132673565,0.9045829137439992
15,0.9071847844725989,0.011537211886674646,0.8911685667374051,0.9232010022077927,0.8866947939041617,0.005061593734453242,0.8796681753299005,0.893721412478423,0.9100442885041538,0.012090470615863083,0.8932600245236784,0.9268285524846291,0.9015920256209858,0.01934088461186912,0.8747425734155762,0.9284414778263955,0.9105642529005156,0.009905130610496611,0.8968137272005865,0.9243147786004446
20,0.9130774710451182,0.010009005416049415,0.8991827439974739,0.9269721980927624,0.898097504566451,0.007677388207504157,0.8874395811117369,0.908755428021165,0.9144359726591219,0.010653534186011076,0.8996464962372179,0.9292254490810259,0.906835527412545,0.01260014461693902,0.8893437224893027,0.9243273323357873,0.9165450077372945,0.010913184014612321,0.9013950795675479,0.9316949359070411
25,0.9171382460619023,0.009874050731558674,0.9034308661508469,0.9308456259729577,0.9038964301488438,0.005597654248500393,0.8961256402794245,0.9116672200182631,0.9192692553821711,0.010763105775957744,0.904327669207979,0.9342108415563631,0.9102195064126601,0.015371864592838779,0.8888799373093849,0.9315590755159354,0.915166310450679,0.010552768141878775,0.9005167197237757,0.9298159011775823
30,0.9132784039344101,0.010870565936747803,0.8981876391415033,0.9283691687273168,0.9147797587860562,0.010501230895045127,0.9002017132275062,0.9293578043446062,0.917793567696029,0.009202157384313035,0.9050189252825612,0.9305682101094969,0.9106894454378681,0.013054911494099321,0.8925663228795768,0.9288125679961594,0.9147776110617526,0.011820738734895935,0.8983677949615907,0.9311874271619145
