k,quantum_mean,quantum_std,quantum_ci_low,quantum_ci_high,variance_mean,variance_std,variance_ci_low,variance_ci_high,correlation_mean,correlation_std,correlation_ci_low,correlation_ci_high,random_mean,random_std,random_ci_low,random_ci_high,rbf_kernel_mean,rbf_kernel_std,rbf_kernel_ci_low,rbf_kernel_ci_high
5,0.8374165792459604,0.0141947693193878,0.8177110803478472,0.8571220781440735,0.8050918357642345,0.008867603269054874,0.7927816289186328,0.8174020426098362,0.8990700754710794,0.019402641660345193,0.8721348907381933,0.9260052602039656,0.8775722322605322,0.04693616740027921,0.8124143861429073,0.942730078378157,0.8432473786788508,0.012342425675383283,0.826113345002508,0.8603814123551936
10,0.9254713466833662,0.020118825160233205,0.8975419398641362,0.9534007535025961,0.9220735583901769,0.011574985407480896,0.9060049026015088,0.938142214178845,0.9348656947489313,0.009214658066842648,0.922073698606053,0.9476576908918096,0.9222110689791947,0.033970356878928715,0.8750526534400327,0.9693694845183567,0.9242243540321728,0.017391474175879402,0.9000811173582757,0.94836759070607
15,0.9388833153460385,0.009436693330306521,0.9257830848429474,0.9519835458491297,0.9221242115679956,0.005887311521636008,0.9139513129394852,0.9302971101965061,0.9308312582534801,0.027781392660656278,0.8922645024193515,0.9693980140876087,0.938180338889212,0.023056275681248087,0.9061730970095659,0.9701875807688581,0.936677001629296,0.01609385401585631,0.9143351505262499,0.9590188527323421
20,0.9506146668919936,0.014089697581738395,0.9310550309497262,0.970174302834261,0.9373239084418993,0.018419933280324482,0.9117529416447858,0.9628948752390127,0.9395147258555674,0.022676976365956107,0.9080340358395949,0.9709954158715399,0.937052311880015,0.02620703141126655,0.900671119838227,0.9734335039218031,0.9399485582559957,0.015889855805675736,0.9178899020690121,0.9620072144429792
25,0.9555085323370353,0.013687363148628163,0.9365074261284986,0.9745096385455719,0.9487037978535708,0.011247309751365077,0.9330900288006603,0.9643175669064814,0.9456398157279894,0.016134404049608482,0.9232416721535799,0.9680379593023989,0.9485010232063609,0.014813773364911426,0.9279362089321019,0.9690658374806198,0.9479625663516413,0.011562934176100746,0.9319106403541617,0.964014492349121
30,0.9603129302104442,0.010196709026925783,0.9461576287769771,0.9744682316439113,0.9443750320583757,0.019443947147386186,0.9173825061168331,0.9713675579999183,0.9514878756638318,0.014679731227840345,0.9311091417072535,0.97186660962041,0.9526504338598126,0.009851498056932771,0.9389743620802943,0.966326505639331,0.9489799339023772,0.009952414433984407,0.9351637677323092,0.9627961000724452
